Parm	or	lowor	upor	imod	pr_seed	mi_seed
RA_GRP_EXP	2.5928100276	1.1412260821	5.8907379921	1	1234	524237
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	1234	524237
RA_GRP_S8	2.1438671547	0.9461086489	4.8579688837	1	1234	524237
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	1234	524238
RA_GRP_EXP	2.5511507203	1.1670977424	5.5765423588	1	1234	524238
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	1234	524238
RA_GRP_S8	2.1728634829	1.0218671007	4.6203030827	1	1234	524238
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	1234	524239
RA_GRP_EXP	2.1898823116	1.0185681056	4.7081628731	1	1234	524239
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	1234	524239
RA_GRP_S8	2.1005688138	0.9906711701	4.4539393846	1	1234	524239
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	12345	524230
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	12345	524230
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	12345	524231
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	12345	524231
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	12345	524232
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	12345	524232
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	12345	524233
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	12345	524233
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	12345	524234
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	12345	524234
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	12345	524235
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	12345	524235
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	12345	524236
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	12345	524236
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	12345	524237
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	12345	524237
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	12345	524238
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	12345	524238
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	12345	524239
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	12345	524239
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	123456	524230
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	123456	524230
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	123456	524231
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	123456	524231
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	123456	524232
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	123456	524232
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	123456	524233
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	123456	524233
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	123456	524234
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	123456	524234
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	123456	524235
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	123456	524235
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	123456	524236
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	123456	524236
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	123456	524237
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	123456	524237
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	123456	524238
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	123456	524238
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	123456	524239
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	123456	524239
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	1234567	524230
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	1234567	524230
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	1234567	524231
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	1234567	524231
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	1234567	524232
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	1234567	524232
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	1234567	524233
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	1234567	524233
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	1234567	524234
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	1234567	524234
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	1234567	524235
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	1234567	524235
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	1234567	524236
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	1234567	524236
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	1234567	524237
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	1234567	524237
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	1234567	524238
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	1234567	524238
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	1	1234567	524239
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	1	1234567	524239
RA_GRP_EXP	2.3888536822	1.108865843	5.1463591839	2	123	524230
RA_GRP_S8	2.3621300956	1.0930650273	5.1045989479	2	123	524230
RA_GRP_EXP	2.4225249182	1.1028011456	5.3215640938	2	123	524231
RA_GRP_S8	2.4554066521	1.1535685771	5.2264095495	2	123	524231
RA_GRP_EXP	2.5176443335	1.1723177232	5.4068388328	2	123	524232
RA_GRP_S8	2.2862671386	1.0617394854	4.9230696429	2	123	524232
RA_GRP_EXP	1.9914880153	0.9411536207	4.2140033547	2	123	524233
RA_GRP_S8	1.8020368469	0.7924708963	4.0977363493	2	123	524233
RA_GRP_EXP	2.3059041044	0.9862954069	5.3910762452	2	123	524234
RA_GRP_S8	2.1737458512	0.9253109222	5.1065765165	2	123	524234
RA_GRP_EXP	2.3359817094	1.0774067396	5.0647637017	2	123	524235
RA_GRP_S8	2.2943963804	1.0601691895	4.9654855115	2	123	524235
RA_GRP_EXP	2.2583958989	1.0606578679	4.8086684597	2	123	524236
RA_GRP_S8	2.1644063923	1.0167940058	4.6072803385	2	123	524236
RA_GRP_EXP	2.4467646041	1.0602437673	5.6464911301	2	123	524237
RA_GRP_S8	2.2500452006	0.9882514743	5.1228898075	2	123	524237
RA_GRP_EXP	2.5240886879	1.1746260044	5.423874221	2	123	524238
RA_GRP_S8	2.2909437938	1.072168347	4.895148678	2	123	524238
RA_GRP_EXP	2.1800329829	1.0270863384	4.6272096402	2	123	524239
RA_GRP_S8	2.2262233256	1.0601077335	4.6750628625	2	123	524239
RA_GRP_EXP	3.3268955879	1.6425065147	6.7386242636	2	1234	524230
RA_GRP_S8	2.2231757709	1.0276237672	4.8096498602	2	1234	524230
RA_GRP_EXP	3.449220976	1.6594902309	7.169144548	2	1234	524231
RA_GRP_S8	2.2347584704	1.0586275358	4.717566143	2	1234	524231
RA_GRP_EXP	3.440332497	1.6770469967	7.0575766294	2	1234	524232
RA_GRP_S8	2.185128783	1.0052847244	4.7496870114	2	1234	524232
RA_GRP_EXP	2.7219564623	1.3264911655	5.5854476648	2	1234	524233
RA_GRP_S8	1.7395737845	0.7656303818	3.9524515008	2	1234	524233
RA_GRP_EXP	3.2795769519	1.4959541643	7.1898091799	2	1234	524234
RA_GRP_S8	2.0319812078	0.8788421669	4.6981674122	2	1234	524234
RA_GRP_EXP	2.4978962468	1.1423896081	5.4617843293	2	1234	524235
RA_GRP_S8	2.1999855512	1.032727181	4.6865585749	2	1234	524235
RA_GRP_EXP	2.3417155136	1.0885575836	5.0375208713	2	1234	524236
RA_GRP_S8	2.0844994245	0.9780658222	4.4425822395	2	1234	524236
RA_GRP_EXP	2.622928308	1.1539607299	5.9618605131	2	1234	524237
RA_GRP_S8	2.1438684547	0.9460698087	4.8581742157	2	1234	524237
RA_GRP_EXP	2.6019066405	1.186949903	5.7036258637	2	1234	524238
RA_GRP_S8	2.1728374525	1.0218660917	4.6201969447	2	1234	524238
RA_GRP_EXP	2.2253367385	1.0381354259	4.7702096241	2	1234	524239
RA_GRP_S8	2.1005683436	0.9906688758	4.4539477052	2	1234	524239
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	12345	524230
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	12345	524230
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	12345	524231
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	12345	524231
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	12345	524232
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	12345	524232
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	12345	524233
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	12345	524233
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	12345	524234
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	12345	524234
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	12345	524235
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	12345	524235
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	12345	524236
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	12345	524236
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	12345	524237
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	12345	524237
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	12345	524238
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	12345	524238
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	12345	524239
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	12345	524239
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	123456	524230
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	123456	524230
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	123456	524231
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	123456	524231
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	123456	524232
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	123456	524232
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	123456	524233
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	123456	524233
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	123456	524234
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	123456	524234
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	123456	524235
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	123456	524235
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	123456	524236
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	123456	524236
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	123456	524237
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	123456	524237
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	123456	524238
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	123456	524238
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	123456	524239
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	123456	524239
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	1234567	524230
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	1234567	524230
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	1234567	524231
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	1234567	524231
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	1234567	524232
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	1234567	524232
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	1234567	524233
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	1234567	524233
